"id","Rank1","Rank2","Rank3","Rank4","Rank5","Budget","cor","sub","cor_avg","Per_Rank1","Per_Rank5","Rel_Per","RPS","IR","RPS.rank","IR.rank","class"
"0102b20c",-0.051824,-0.068238,-0.088524,-0.083414,-0.0948,0.8952,-0.922884526725405,"avg",-0.922884526725405,-0.0578909740840036,-0.105898123324397,-0.0480071492403932,0.1642,-2.74234,93,90,"Opposite Connection"
"0509c220",0.2,0.3,0.2,0.2,0.1,1,-0.670820393249937,"avg",-0.670820393249937,0.2,0.1,-0.1,0.20433,-5.48755,141,108,"Opposite Connection"
"05cd7224",-0.147694603781818,-0.0541448097,-0.0243265667090909,0.00884254760909091,0.0936988871272727,0.999991818181818,0.978061869115174,"avg",0.708096731981752,-0.1476958122021,0.0936996537608035,0.241395465962903,0.21066,-10.95626,143,135,"Connected"
"07c9170b",-0.00586123045833333,-0.008314439675,-0.00878155166666666,-0.00510359870833333,-0.00347834615833333,0.996434166666667,0.566853143629445,"avg",-0.119684714051253,-0.00588220542250241,-0.00349079374703631,0.0023914116754661,0.15958,-10.43776,27,134,"Disconnected"
"0b1bfb9c",0.0486532428916667,0.051429387,0.0564641477916667,0.057899855375,0.069206700275,0.998748333333333,0.950715599211831,"avg",0.836241817133048,0.0487142168530945,0.0692934325547477,0.0205792157016532,0.1598,-19.67177,34,154,"Well Connected"
"0db5fc0c",0.00869750925,-0.029476657125,-0.0266143663,-0.00910118333333333,0.042721364175,1,0.471106471215457,"avg",0.377391115635647,0.00869750925,0.042721364175,0.034023854925,0.16679,-17.41981,102,151,"Weakly Connected"
"1240bcc8",0.0188066476666667,0.028356589,0.0195500416666667,0.0217528796666667,0.002023842,0.999603333333333,-0.651987725094544,"avg",-0.287981290961097,0.0188141105972036,0.00202464510922666,-0.0167894654879769,0.16306,-2.91564,86,91,"Opposite Connection"
"12b14bfc",-0.0591666666666667,-0.0620833333333333,0.0341666666666667,0.165,0.267916666666667,0.8875,0.96378209985101,"avg",0.874750020224373,-0.0666666666666667,0.3018779342723,0.368544600938967,0.23146,-11.13137,150,138,"Well Connected"
"1374c1f1",0.20553848,0.17074604,0.24794004,0.1703538,0.20542164,1,-0.00309383783739827,"avg",-0.00309383783739827,0.20553848,0.20542164,-0.000116840000000007,0.15929,-1.21835,23,81,"Disconnected"
"14cbb019",0.1005137167,0.096673632425,0.101710545175,0.1032921003875,0.0968425053125,1,-0.0387662569473867,"avg",-0.383163485132771,0.1005137167,0.0968425053125,-0.0036712113875,0.16081,-7.5282,74,120,"Opposite Connection"
"15db49cb",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,0.45347,51,55,"NA"
"169b45f0",-0.2475,-0.1207,-0.1029,-0.0197,0.4957,0.9999,0.870524106897237,"avg",0.870524106897237,-0.247524752475248,0.495749574957496,0.743274327432743,0.32333,-6.21435,163,114,"Well Connected"
"190cb995",0.092102535,0.05466106,0.078461365,0.145341915,0.629433125,1,0.760286877207937,"avg",0.763965614392325,0.092102535,0.629433125,0.53733059,0.18569,-12.83295,133,143,"Well Connected"
"1995b9c2",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,-0.30005,51,71,"NA"
"1bdff261",0.198,0.2,0.2,0.202,0.2,1,0.670820393249937,"avg",0.670820393249937,0.198,0.2,0.002,0.16018,0.40748,66.5,63,"Connected"
"1cd83ccc",0.211891524,0.211891524,0.211891524,0.211891524,0.152393904,0.99996,-0.707106781186547,"avg",-0.707106781186547,0.2119,0.1524,-0.0595,0.16085,-1.33792,75,82,"Opposite Connection"
"1d3cd369",0.2041747628,0.141708477490909,0.142784208809091,0.138537744390909,0.190680261054545,0.999703636363636,-0.152323808407592,"avg",-0.135469588076901,0.20423529071343,0.190736788502774,-0.0134985022106552,0.15968,6.1536,29,17,"Disconnected"
"203bb693",0.019704,0.021473,0.024986,0.022606,0.020231,0.987,0.164097197111092,"avg",0.181263445336298,0.0199635258358663,0.0204974670719352,0.000533941236068897,0.16027,-6.10366,69,113,"Disconnected"
"20fbd380",0.00666666666666667,0.0733333333333333,0.218333333333333,0.27,0.431666666666667,1,0.987562998796191,"avg",0.945459555486401,0.00666666666666667,0.431666666666667,0.425,0.20222,-11.24211,140,139,"Well Connected"
"22dcdc75",0.112813652571429,0.152785779857143,0.200046534,0.245118620714286,0.289006841428571,0.999771428571429,0.999721444017275,"avg",0.985943283862893,0.112839444444444,0.289072915237769,0.176233470793324,0.1972,-0.76729,138,78,"Well Connected"
"2b6cb11d",0.18245733805,0.1771058171,0.1793521721,0.20731029125,0.2322393815,0.999845,0.863534719415937,"avg",0.614750667406742,0.182485623321615,0.232275384184549,0.0497897608629338,0.17155,-0.46799,114,72,"Connected"
"2b8b032c",0.1094506,0.126838333333333,0.1324946,0.136786466666667,0.161096666666667,1,0.958425001431334,"avg",0.738849107752348,0.1094506,0.161096666666667,0.0516460666666667,0.16108,12.30574,77,8,"Connected"
"2bc96665",0.1331273258,0.2001840304,0.18494053015,0.170930142,0.31080797165,1,0.772466267425242,"avg",0.117567558053878,0.1331273258,0.31080797165,0.17768064585,0.18916,-4.51971,134,103,"Disconnected"
"2c1cbbbf",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,0.45347,51,55,"NA"
"2c78c015",0.2,0.2,0.2,0.2,0.2,1,NA,"avg",NA,0.2,0.2,0,0.16,0.45347,51,55,"NA"
