No,TeamID,id,RPS,IR,RPS rank,IR rank,Date,TS,ML,Combination,Judgment,Related,NotRelated
217,af3d227c-13ed-4e74-a5d0-ec96b53002ac,3d227c13,0.16,1.25843,51,39,05/03/2022,,,,,,X
218,b0cd8c18-b280-405a-8c49-1bf6b973a5da,cd8c18b2,NA,NA,NA,NA,28/05/2022,,X,,X,,X
219,b11995b9-c232-4d0c-86ac-ef7f0b47c0b5,1995b9c2,0.16,-0.30005,51,71,06/03/2022,,,,X,,
220,b23653df-28a2-4584-9044-12090b9011c5,3653df28,0.16,0.45347,51,55,28/02/2022,,,,,,
221,b23bdbe3-c0b5-429d-b3af-1137aa2bd868,3bdbc3c0,0.1631,-0.62471,87,76,30/01/2022,X,,,,,
222,b2d50e10-cdb5-4992-b4b9-76ea6d1ef86c,d50c10cd,0.17281,4.48746,117,20,05/02/2022,,X,,,X,
223,b8986695-269a-4dc0-882d-2e12201a7765,98669526,0.28072,-14.42135,155,147,04/02/2022,X,X,X,,X,X
228,b89d85d5-7064-4842-af79-ec886fcf19e0,9d85d570,NA,NA,NA,NA,01/04/2022,,,,X,,
229,b95c0347-ce1d-4f98-aa74-fea8082fa5e6,5c0347cc,0.1598,-3.12058,33,93,05/02/2022,,,,,,
230,b96133c0-d762-49cb-a6cb-54c53112a476,6133c0d7,0.19081,-2.00376,135,85,06/02/2022,,,,X,,
231,b9ac8c2a-8356-4c5d-8902-0f6221d39d57,bc8c2b83,0.16014,-27.32726,65,162,28/02/2022,X,,,,,X
232,bcb17ed7-342d-45b8-9432-c286ae5575a7,b17cd734,0.1597,6.78628,30,13,05/03/2022,,X,,,,
233,be856618-c2df-4819-97b9-b33692e397f9,856618c2,0.16,-5.55009,51,109,30/01/2022,X,,,,,
234,bf63e2f8-35a3-4034-ac71-7a3905b97220,63c2f835,NA,NA,NA,NA,06/03/2022,,X,,,X,
235,c4d707cb-75e0-4be2-965d-d413c3b259c9,d707cb75,0.15904,0.55381,18,47,06/03/2022,X,,,,X,
236,c4e34d25-5ad8-4538-bc47-35e6b6b1cb8f,c34d255b,0.18562,-5.48012,132,107,05/03/2022,,X,,,,X
238,c8880fac-8365-476c-b7e0-3fb307dc1f03,880fbc83,0.16,0.45347,51,55,06/03/2022,,,,,,
239,c9c47a9d-a18b-46f3-ab55-edf17366d33e,c47b9db1,0.17738,-10.02853,123,132,05/02/2022,X,,,,X,
240,ca8c9088-2c2a-4499-869c-a83686e67353,8c90882c,0.18386,1.14876,128,40,06/03/2022,,X,,,X,
242,cb0cf245-597b-48f4-aae6-dba20b818289,0cf24559,NA,NA,NA,NA,28/05/2022,,,,,,X
243,cb1ec29e-6872-46e4-87c7-1fa246c2675b,1cc29c68,NA,NA,NA,NA,18/08/2022,,,,,,
244,cc190ea9-95e8-403e-add7-c58ff582abad,190cb995,0.18569,-12.83295,133,143,06/03/2022,,,,,,
245,cc921f73-5dae-4dfc-802b-fdc32911f305,921f735d,0.15925,-17.04576,21,150,06/02/2022,,X,,,X,
246,cc93560f-aee2-47ff-8019-75e2a4c61298,93560fbc,NA,NA,NA,NA,06/02/2022,,X,,,,X
247,cff5d74a-faaf-4d0b-9505-26d674f598eb,f5d74bfb,0.19166,-0.48332,136,73,06/03/2022,,,,X,,
248,d05fbf80-7e5e-4a0c-b642-94a5a0d73355,5fbf807c,0.16,-8.45218,51,124,06/02/2022,,,,X,,
249,d0691078-fdae-4121-bb8c-f4249bfa9ee0,691078fd,NA,NA,NA,NA,16/10/2022,,X,X,,,X
251,d29dda66-a4fa-4c6b-a76e-ba956818cd1b,9ddb66b4,0.24303,1.28737,151,37,05/03/2022,,X,,,X,
252,d54bef28-8b1a-4757-827b-42a43d36b7b2,4bcf288b,NA,NA,NA,NA,06/02/2022,,,,X,,
253,d5c0ba49-cbe4-4466-9582-b865c20286dc,c0bb49cb,NA,NA,NA,NA,22/06/2022,,,,,,
254,d6b42b12-9765-4432-960d-3e83a6fac9cf,b42b1297,0.15938,-13.27179,24,146,27/02/2022,,,,,,
256,d7d64f73-c251-45ab-9396-ed58218fe44d,d64f73c2,0.16,-0.70302,51,77,06/02/2022,,,,,,
257,d866752b-aec2-4c12-9b45-dc21c112e2df,66752bbc,0.17054,-7.1498,111,118,06/03/2022,,X,X,,X,
259,d94db767-a2c9-4882-a599-b36650f86cbd,4db767b2,NA,NA,NA,NA,02/04/2022,,X,,,,
260,da23c126-adea-43ca-a441-43e1b6f2cfb4,23c126bd,NA,NA,NA,NA,28/05/2022,,,,,,
